tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0336,Hong Kong,20241230,A,Hard,274,200059,,Yibing Wu,R,183.0,26,206681,,Fabian Marozsan,R,193.0,26,6-4 6-2,3,R32
2026-0336,Hong Kong,20241230,A,Hard,275,105227,,Marin Cilic,R,198.0,37,105173,,Adrian Mannarino,L,180.0,37,6-3 6-2,3,R32
2026-0336,Hong Kong,20241230,A,Hard,276,132686,8,Nuno Borges,R,185.0,28,106000,,Damir Dzumhur,R,175.0,33,6-4 6-3,3,R32
2026-0336,Hong Kong,20241230,A,Hard,277,209409,,Coleman Wong,R,191.0,21,208363,,Mariano Navone,R,178.0,24,6-3 7-5,3,R32
2026-0336,Hong Kong,20241230,A,Hard,278,122298,,Botic Van De Zandschulp,R,191.0,30,105526,,Jan Lennard Struff,R,193.0,35,6-3 1-6 6-1,3,R32
2026-0336,Hong Kong,20241230,A,Hard,279,209992,,Juncheng Shang,L,180.0,20,207681,,Francisco Comesana,R,178.0,25,6-4 6-4,3,R32
2026-0336,Hong Kong,20241230,A,Hard,280,111581,,Michael Mmoh,R,188.0,27,126214,,Alejandro Tabilo,L,188.0,28,7-5 6-4,3,R32
2026-0336,Hong Kong,20241230,A,Hard,281,106218,,Marcos Giron,R,180.0,32,111513,,Laslo Djere,R,188.0,30,6-2 6-0,3,R32
2026-0336,Hong Kong,20241230,A,Hard,282,144869,,Tomas Martin Etcheverry,R,196.0,26,208316,,Valentin Royer,R,188.0,24,6-4 7-5,3,R32
2026-0336,Hong Kong,20241230,A,Hard,283,124186,7,Alexandre Muller,R,183.0,28,200175,,Miomir Kecmanovic,R,183.0,26,7-5 6-4,3,R32
2026-0336,Hong Kong,20241230,A,Hard,284,209113,6,Gabriel Diallo,R,203.0,24,207411,,Jesper De Jong,R,180.0,25,6-4 7-6(7),3,R32
2026-0336,Hong Kong,20241230,A,Hard,285,132283,5,Lorenzo Sonego,R,191.0,30,210536,,Rei Sakamoto,R,193.0,19,6-2 7-6(4),3,R32
2026-0336,Hong Kong,20241230,A,Hard,286,132686,8,Nuno Borges,R,185.0,28,105227,,Marin Cilic,R,198.0,37,7-5 6-3,3,R16
2026-0336,Hong Kong,20241230,A,Hard,287,209409,,Coleman Wong,R,191.0,21,209113,6,Gabriel Diallo,R,203.0,24,1-6 7-5 7-5,3,R16
2026-0336,Hong Kong,20241230,A,Hard,288,126094,3,Andrey Rublev,R,188.0,28,200059,,Yibing Wu,R,183.0,26,3-6 6-2 6-1,3,R16
2026-0336,Hong Kong,20241230,A,Hard,289,207518,1,Lorenzo Musetti,R,185.0,23,144869,,Tomas Martin Etcheverry,R,196.0,26,6(3)-7 6-2 6-4,3,R16
2026-0336,Hong Kong,20241230,A,Hard,290,106218,,Marcos Giron,R,180.0,32,124186,7,Alexandre Muller,R,183.0,28,6-4 7-6(4),3,R16
2026-0336,Hong Kong,20241230,A,Hard,291,209992,,Juncheng Shang,L,180.0,20,132283,5,Lorenzo Sonego,R,191.0,30,6-3 6-4,3,R16
2026-0336,Hong Kong,20241230,A,Hard,292,111581,,Michael Mmoh,R,188.0,27,111575,4,Karen Khachanov,R,198.0,29,7-6(2) 7-6(4),3,R16
2026-0336,Hong Kong,20241230,A,Hard,293,122330,2,Alexander Bublik,R,196.0,28,122298,,Botic Van De Zandschulp,R,191.0,30,6-3 6-3,3,R16
2026-0336,Hong Kong,20241230,A,Hard,294,106218,,Marcos Giron,R,180.0,32,111581,,Michael Mmoh,R,188.0,27,6-3 1-0,3,QF
2026-0336,Hong Kong,20241230,A,Hard,295,126094,3,Andrey Rublev,R,188.0,28,132686,8,Nuno Borges,R,185.0,28,6-3 6-4,3,QF
2026-0336,Hong Kong,20241230,A,Hard,296,122330,2,Alexander Bublik,R,196.0,28,209992,,Juncheng Shang,L,180.0,20,6-1 7-6(2),3,QF
2026-0336,Hong Kong,20241230,A,Hard,297,207518,1,Lorenzo Musetti,R,185.0,23,209409,,Coleman Wong,R,191.0,21,6-4 6-4,3,QF
2026-0336,Hong Kong,20241230,A,Hard,298,122330,2,Alexander Bublik,R,196.0,28,106218,,Marcos Giron,R,180.0,32,3-6 6-4 6-2,3,SF
2026-0336,Hong Kong,20241230,A,Hard,299,207518,1,Lorenzo Musetti,R,185.0,23,126094,3,Andrey Rublev,R,188.0,28,6(3)-7 7-5 6-4,3,SF
2026-0336,Hong Kong,20241230,A,Hard,300,122330,2,Alexander Bublik,R,196.0,28,207518,1,Lorenzo Musetti,R,185.0,23,7-6(2) 6-3,3,F
